,conv_type,noise_p,noise_type,metric_type,value
132,gcn,0.8,edge,r,0.6807574252069197
133,gcn,0.8,edge,r2,0.4502733914148319
134,gcn,0.95,edge,r,0.6925341653550118
135,gcn,0.95,edge,r2,0.4787032358261444
136,gcn,0.8,edge,r,0.6750942427617282
137,gcn,0.8,edge,r2,0.44468542473287787
138,gcn,0.95,edge,r,0.6631026471518542
139,gcn,0.95,edge,r2,0.4266364140215465
140,gcn,0.8,node,r,0.6590383415652307
141,gcn,0.8,node,r2,0.4270688299900132
142,gcn,0.95,node,r,0.6647085540814995
143,gcn,0.95,node,r2,0.4300283671254057
144,gcn,0.8,node,r,0.6640469424398303
145,gcn,0.8,node,r2,0.43405638546933895
146,gcn,0.95,node,r,0.6444225350666436
147,gcn,0.95,node,r2,0.40154617190581854
148,gcn,0.8,node,r,0.6673914536250837
149,gcn,0.8,node,r2,0.4342572326231581
150,gcn,0.95,node,r,0.6792371813718082
151,gcn,0.95,node,r2,0.4457685692420241
152,gcn,0.8,node,r,0.6475955629398898
153,gcn,0.8,node,r2,0.4092368028313263
154,gcn,0.95,node,r,0.6449187962151218
155,gcn,0.95,node,r2,0.4026623931183823
156,gcn,0.8,node,r,0.6652062756907509
157,gcn,0.8,node,r2,0.4366353812816837
158,gcn,0.95,node,r,0.6609493656254732
159,gcn,0.95,node,r2,0.4344920988728291
160,gat,0.1,node,r,0.6831658242493663
161,gat,0.1,node,r2,0.4647741612589046
162,gat,0.2,node,r,0.6918102756392108
163,gat,0.2,node,r2,0.4720399058744693
164,gat,0.3,node,r,0.6992438167641553
165,gat,0.3,node,r2,0.4832714783815144
166,gat,0.5,node,r,0.6781885975461256
167,gat,0.5,node,r2,0.4500088778128581
168,gat,0.01,node,r,0.7019987080250446
169,gat,0.01,node,r2,0.4854245931881165
170,gat,0.05,node,r,0.6615819726718353
171,gat,0.05,node,r2,0.4132402064675276
172,gat,0.1,node,r,0.6977271728825478
173,gat,0.1,node,r2,0.4840495621735723
174,gat,0.2,node,r,0.7077544027885454
175,gat,0.2,node,r2,0.4939392086425414
176,gat,0.3,node,r,0.6904669805873344
177,gat,0.3,node,r2,0.4707144725022442
178,gat,0.5,node,r,0.6852137310526474
179,gat,0.5,node,r2,0.462606642482641
180,gat,0.01,node,r,0.7079009614547321
181,gat,0.01,node,r2,0.4941803183784418
182,gat,0.05,node,r,0.6664096508773272
183,gat,0.05,node,r2,0.4424812045977248
184,gat,0.1,node,r,0.6854642742448742
185,gat,0.1,node,r2,0.4578524384065707
186,gat,0.2,node,r,0.6959755608327788
187,gat,0.2,node,r2,0.4746166069797645
188,gat,0.3,node,r,0.6905762826855938
189,gat,0.3,node,r2,0.466699605190181
190,gat,0.5,node,r,0.7027793587159703
191,gat,0.5,node,r2,0.4900852208885326
192,gat,0.01,node,r,0.7061188073210478
193,gat,0.01,node,r2,0.4908456548277917
194,gat,0.05,node,r,0.7060947354836662
195,gat,0.05,node,r2,0.4928097807186638
196,gat,0.1,node,r,0.6848058248944586
197,gat,0.1,node,r2,0.4604332993995202
198,gat,0.2,node,r,0.6788917289561032
199,gat,0.2,node,r2,0.4593745016257025
200,gat,0.3,node,r,0.7004581779963837
201,gat,0.3,node,r2,0.4825292505815434
202,gat,0.5,node,r,0.6815879046230852
203,gat,0.5,node,r2,0.4552245696883087
204,gat,0.01,node,r,0.6997643503658946
205,gat,0.01,node,r2,0.4853142558671553
206,gat,0.05,node,r,0.6936860509405129
207,gat,0.05,node,r2,0.4712118061004973
208,gat,0.1,node,r,0.6830541448483037
209,gat,0.1,node,r2,0.4631423934519966
210,gat,0.2,node,r,0.6961004648304236
211,gat,0.2,node,r2,0.4828577070602214
212,gat,0.3,node,r,0.6771909048769317
213,gat,0.3,node,r2,0.4541444746340447
214,gat,0.5,node,r,0.6989937340343286
215,gat,0.5,node,r2,0.4809807060956427
216,gat,0.01,node,r,0.7009948974321936
217,gat,0.01,node,r2,0.4823996916989942
218,gat,0.05,node,r,0.699474094454709
219,gat,0.05,node,r2,0.4803675277639601
224,gat,0.1,edge,r,0.677027257590352
225,gat,0.1,edge,r2,0.4488095315699636
226,gat,0.2,edge,r,0.697848706364175
227,gat,0.2,edge,r2,0.4786267660435016
228,gat,0.3,edge,r,0.7018468458924091
229,gat,0.3,edge,r2,0.484895964648821
230,gat,0.5,edge,r,0.6943218937286548
231,gat,0.5,edge,r2,0.4724824639371992
232,gat,0.8,edge,r,0.685115954160385
233,gat,0.8,edge,r2,0.46802984046877927
234,gat,0.01,edge,r,0.6688706927964457
235,gat,0.01,edge,r2,0.43580508150487784
236,gat,0.05,edge,r,0.6578490431790825
237,gat,0.05,edge,r2,0.4123131841642076
238,gat,0.95,edge,r,0.6918166485472176
239,gat,0.95,edge,r2,0.466327992581238
240,gat,0.1,edge,r,0.6987419985259633
241,gat,0.1,edge,r2,0.4783931389825232
242,gat,0.2,edge,r,0.6932337837243293
243,gat,0.2,edge,r2,0.47103851484702575
244,gat,0.3,edge,r,0.6756942253893955
245,gat,0.3,edge,r2,0.4374878496260255
246,gat,0.5,edge,r,0.6919782516467441
247,gat,0.5,edge,r2,0.46206501699776314
248,gat,0.8,edge,r,0.6943526752879968
249,gat,0.8,edge,r2,0.4710892972261117
250,gat,0.01,edge,r,0.6869287356305749
251,gat,0.01,edge,r2,0.4591449893664753
252,gat,0.05,edge,r,0.7127130958332477
253,gat,0.05,edge,r2,0.5052152070164235
254,gat,0.95,edge,r,0.6958010861770644
255,gat,0.95,edge,r2,0.4789359530015036
