"Name","learning_rate","similarity","layer_sizes","weight_decay","n_conv_layers","dropout","_wandb","validation_r2_fold_4","cv_validation_average_r","train_mse_fold_0","final_validation_mse_fold_2","final_validation_r_fold_4","final_validation_r2_fold_1","train_r_fold_4","train_r2_fold_0","train_mse_fold_2","cv_validation_average_mse","validation_r2_fold_1","train_r_fold_2","final_validation_r2_fold_0","final_validation_r_fold_0","train_r_fold_3","train_mse_fold_1","train_r2_fold_3","validation_mse_fold_1","train_r2_fold_4","final_validation_r2_fold_2","train_r2_fold_2","train_mse_fold_4","validation_r_fold_0","validation_r_fold_2","cv_validation_average_r2","validation_r_fold_3","validation_mse_fold_2","final_validation_r_fold_1","final_validation_mse_fold_3","train_r2_fold_1","train_mse_fold_3","validation_mse_fold_4","validation_r_fold_1","final_validation_mse_fold_4","final_validation_r2_fold_4","train_r_fold_0","train_r_fold_1","final_validation_mse_fold_0","validation_r2_fold_0","validation_r2_fold_3","validation_r_fold_4","validation_mse_fold_0","final_validation_mse_fold_1","final_validation_r_fold_2","validation_r2_fold_2","final_validation_r_fold_3","final_validation_r2_fold_3","validation_mse_fold_3"
"golden-sweep-43-fold-0","0.0008367996726343227","(['SEX', 'FTE', 'FI', 'MEM'], 0.8)","[2048, 1024, 512, 256, 128, 1]","0.0007197055445102931","2","0.39955786214930833","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"firm-sweep-4-fold-1","0.03564050624047318","(['SEX', 'ICD10', 'MEM', 'FTE'], 0.8)","[1024, 512, 512, 256, 256, 1]","0.00016205112112398372","3","0.04259866850251931","null","null","null","31.72318458557129","null","null","null","null","0.4320131663719852","null","null","0.2638935967861733","null","0.4059543311260688","[0.6499228491224865,0]","null","22.20370864868164","null","41.42710494995117","null","null","null","null","0.566418568440863","null","null","null","null","null","null","0.601612640471254","null","null","0.5747876123196918","null","null","0.6943095958514731","0.7791654943437878","33.157073974609375","0.19143433209929928","null","null","45.13065719604492","null","null","null","null","null","null"
"proud-sweep-53-fold-0","0.004481041351579442","(['SEX', 'FTE', 'FI', 'MEM'], 0.8)","[1024, 512, 512, 512, 256, 256, 1]","0.0006438653967396788","5","0.27029094304281803","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"lunar-sweep-59-fold-0","0.0039235467735256714","(['SEX', 'FTE', 'FI', 'MEM'], 0.8)","[1024, 512, 256, 128, 128, 1]","0.02622503392768864","3","0.3634512592600186","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"trim-sweep-84","0.0024306185537081443","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[512, 512, 512, 256, 128, 1]","0.006716585858042592","3","0.06791455255619655","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"scarlet-sweep-6-fold-1","0.002806560254558315","(['SEX', 'FTE', 'FI', 'MEM'], 0.8)","[1024, 512, 512, 256, 256, 1]","0.00013577646422179826","1","0.11041382050006876","null","null","null","25.277782440185547","null","null","null","null","0.547414658771213","null","null","-0.21025851136682897","null","0.2493202564362208","[0.5191089518175518,4.447662357823464e-189]","null","68.07456970214844","null","68.11176300048828","null","null","null","null","0.5076214680875545","null","null","null","null","null","null","-0.22141964316912","null","null","-0.011865070848419326","null","null","0.7420593114374603","0.004354191239061931","41.89971160888672","0.2131776466883939","null","null","43.91704177856445","null","null","null","null","null","null"
"youthful-sweep-63-fold-0","0.003440693400160816","(['SEX', 'FTE', 'FI', 'MEM'], 0.8)","[512, 512, 512, 256, 128, 1]","0.0002408318640636659","3","0.1414612826578593","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"avid-sweep-2-fold-0","0.0002160433564080733","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.8)","[2048, 1024, 512, 256, 128, 1]","0.0001701123782460577","2","0.11737870496181874","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"stellar-sweep-83-fold-0","0.010567508317899757","(['SEX', 'ICD10', 'MEM', 'FTE'], 0.8)","[1024, 512, 256, 128, 128, 1]","0.021697463684438763","1","0.20115457639007872","null","null","null","58.33702087402344","null","null","null","null","-0.04449345142204031","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.15970931997516502","null","null","null","null","null","null","null","null","null","null","null","null","0.1878806052649417","null","null","-0.07060149568102436","null","null","59.75636672973633","null","null","null","null","null","null"
"trim-sweep-3-fold-0","0.0001122468029289497","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.8)","[512, 512, 512, 256, 128, 1]","0.045066514309637366","5","0.30063155262097613","null","null","null","226.66323852539065","null","null","null","null","-3.0582850649698807","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.22093001502622064","null","null","null","null","null","null","null","null","null","null","null","null","0.08793471711877754","null","null","-3.0406722561758395","null","null","225.5329437255859","null","null","null","null","null","null"
"colorful-sweep-1-fold-2","0.008259771496256126","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[2048, 1024, 512, 256, 128, 1]","0.0011007978924432525","3","0.4585307155750991","null","null","null","34.255859375","null","null","0.4664926738147849","null","0.3866669063073137","40.76747131347656","null","-0.030429116154897295","0.6741201409607044","0.46953464604811335","[0.6900007186589658,0]","null","33.080772399902344","null","57.991207122802734","null","null","0.27217451575795626","null","0.515589633658234","0.4927238365797548","null","null","59.90283203125","[0.6889106352427443,0]","null","0.4064522405018841","null","null","0.5381367377972313","null","null","0.7490431126270874","0.7566961412154459","29.608293533325195","-0.10766926424611234","null","null","61.82533264160156","30.02509307861328","null","-0.08591483585496063","null","null","null"
"swift-sweep-51-fold-0","0.031178953487680343","(['SEX', 'FTE', 'FI', 'MEM'], 0.8)","[1024, 512, 512, 256, 256, 128, 128, 1]","0.00013460740000785946","4","0.3174704764944292","null","null","null","3967.30126953125","null","null","null","null","-70.0324221453612","null","null","null","null","null","null","null","null","null","null","null","null","null","null","-0.00009316706105306702","null","null","null","null","null","null","null","null","null","null","null","null","-0.010834461493244229","null","null","-69.9934921478022","null","null","3962.551513671875","null","null","null","null","null","null"
"fallen-sweep-5-fold-0","0.0004225601503941926","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.8)","[1024, 512, 512, 256, 256, 1]","0.001992380718975544","4","0.07224671347358652","null","null","null","2202.0380859375","null","null","null","null","-38.42632310529677","null","null","null","null","null","null","null","null","null","null","null","null","null","null","-0.037677475706120525","null","null","null","null","null","null","null","null","null","null","null","null","0.016046177457616433","null","null","-40.284405073161594","null","null","2304.318115234375","null","null","null","null","null","null"
"atomic-sweep-39-fold-4","0.0042205012886521055","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[1024, 512, 256, 128, 128, 1]","0.008164316273475494","3","0.2787189096905844","null","-0.5954351719399948","null","24.61719512939453","28.796205520629883","null","0.4850665194516315","0.043201895553492256","0.5592421487690797","28.107074737548828","null","0.1977320256786617","0.7329421722271025","0.47657266826289135","[0.6932838041403865,0]","0.8279541473320153","19.557580947875977","0.6185795817809863","45.150596618652344","-0.6929416482138482","0.4779841943608808","0.4982017226490292","94.29317474365234","0.559001839537002","0.5256572371208834","null","0.6109809757158927","48.1918830871582","[0.702700937445669,0]","28.588720321655273","0.6490905054415577","21.331607818603516","90.0261459350586","0.579864264720757","null","null","0.8150255885624605","0.8287726712441638","29.21546173095703","0.02238949140266844","0.19472139581238057","0.06232075179092812","54.566009521484375","28.979782104492188","[0.6944722166571576,0]","0.12638059044596917","[0.6975847678262994,0]","0.4850236940309258","44.70474624633789"
