conv_type,noise_p,noise_type,metric_type,value
gcn,0.8,node,r,0.6640469424398303
gcn,0.8,node,r2,0.434056385469339
gcn,0.95,node,r,0.6444225350666436
gcn,0.95,node,r2,0.40154617190581854
gcn,0.8,node,r,0.6673914536250837
gcn,0.8,node,r2,0.4342572326231581
gcn,0.95,node,r,0.6792371813718082
gcn,0.95,node,r2,0.4457685692420241
gcn,0.8,node,r,0.6475955629398898
gcn,0.8,node,r2,0.4092368028313263
gcn,0.95,node,r,0.6449187962151218
gcn,0.95,node,r2,0.40266239311838226
gcn,0.8,node,r,0.6652062756907509
gcn,0.8,node,r2,0.43663538128168367
gcn,0.95,node,r,0.6609493656254732
gcn,0.95,node,r2,0.43449209887282914
gat,0.1,node,r,0.6831658242493663
gat,0.1,node,r2,0.4647741612589046
gat,0.2,node,r,0.6918102756392108
gat,0.2,node,r2,0.4720399058744693
gat,0.3,node,r,0.6992438167641553
gat,0.3,node,r2,0.4832714783815144
gat,0.5,node,r,0.6781885975461256
gat,0.5,node,r2,0.45000887781285814
gat,0.01,node,r,0.7019987080250446
gat,0.01,node,r2,0.4854245931881165
gat,0.05,node,r,0.6615819726718353
gat,0.05,node,r2,0.4132402064675276
gat,0.1,node,r,0.6977271728825478
gat,0.1,node,r2,0.4840495621735723
gat,0.2,node,r,0.7077544027885454
gat,0.2,node,r2,0.49393920864254137
gat,0.3,node,r,0.6904669805873344
gat,0.3,node,r2,0.4707144725022442
gat,0.5,node,r,0.6852137310526474
gat,0.5,node,r2,0.46260664248264094
gat,0.01,node,r,0.707900961454732
gat,0.01,node,r2,0.4941803183784418
gat,0.05,node,r,0.6664096508773272
gat,0.05,node,r2,0.4424812045977248
gat,0.1,node,r,0.6854642742448742
gat,0.1,node,r2,0.4578524384065707
gat,0.2,node,r,0.6959755608327788
gat,0.2,node,r2,0.4746166069797645
gat,0.3,node,r,0.6905762826855938
gat,0.3,node,r2,0.46669960519018094
gat,0.5,node,r,0.7027793587159703
gat,0.5,node,r2,0.49008522088853257
gat,0.01,node,r,0.7061188073210478
gat,0.01,node,r2,0.49084565482779174
gat,0.05,node,r,0.7060947354836662
gat,0.05,node,r2,0.49280978071866377
gat,0.1,node,r,0.6848058248944586
gat,0.1,node,r2,0.46043329939952016
gat,0.2,node,r,0.6788917289561032
gat,0.2,node,r2,0.4593745016257025
gat,0.3,node,r,0.7004581779963837
gat,0.3,node,r2,0.4825292505815434
gat,0.5,node,r,0.6815879046230852
gat,0.5,node,r2,0.4552245696883087
gat,0.01,node,r,0.6997643503658946
gat,0.01,node,r2,0.48531425586715526
gat,0.05,node,r,0.6936860509405129
gat,0.05,node,r2,0.4712118061004973
gat,0.1,node,r,0.6830541448483037
gat,0.1,node,r2,0.4631423934519966
gat,0.2,node,r,0.6961004648304236
gat,0.2,node,r2,0.48285770706022135
gat,0.3,node,r,0.6771909048769317
gat,0.3,node,r2,0.4541444746340447
gat,0.5,node,r,0.6989937340343286
gat,0.5,node,r2,0.4809807060956427
gat,0.01,node,r,0.7009948974321936
gat,0.01,node,r2,0.4823996916989942
gat,0.05,node,r,0.699474094454709
gat,0.05,node,r2,0.4803675277639601
